acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,genre
0.992,0.335,0.0118,0.932,1,0.085,-23.89,1,0.0414,92.445,0.0835,classical
0.991,0.181,0.105,0.887,1,0.0929,-21.362,1,0.0379,72.945,0.07,classical
0.989,0.32,0.156,0.841,0,0.69,-19.611,0,0.0296,90.562,0.209,classical
0.99,0.317,0.154,0.898,5,0.106,-17.736,1,0.033,94.984,0.0399,classical
0.988,0.218,0.0715,0.878,8,0.144,-27.868,1,0.0382,78.754,0.2,classical
0.96,0.399,0.405,0.398,2,0.214,-11.552,1,0.0303,109.098,0.484,classical
0.927,0.0939,0.0336,0.83,2,0.0954,-24.041,0,0.0606,67.359,0.0516,classical
0.92,0.374,0.178,0.0235,1,0.0754,-15.758,1,0.0389,95.839,0.148,classical
0.963,0.137,0.0262,0.903,4,0.234,-21.686,1,0.0394,74.988,0.0355,classical
0.926,0.442,0.216,0.944,7,0.144,-17.569,1,0.0555,118.779,0.574,classical
0.994,0.335,0.00532,0.912,1,0.0621,-31.646,1,0.0376,65.832,0.0397,classical
0.689,0.293,0.317,0.923,7,0.121,-14.707,1,0.0336,76.749,0.0859,classical
0.924,0.3,0.297,0.925,7,0.314,-14.937,0,0.037,139.855,0.279,classical
0.984,0.67,0.013,0.923,6,0.113,-24.009,1,0.468,134.496,0.394,classical
0.901,0.236,0.163,0.737,4,0.124,-15.639,0,0.0348,141.518,0.114,classical
0.861,0.12,0.0577,0.247,6,0.137,-25.082,1,0.0519,71.917,0.144,classical
0.994,0.517,0.0322,0.963,4,0.0856,-23.108,0,0.0623,132.223,0.0389,classical
0.973,0.22,0.0917,0.929,2,0.104,-17.819,1,0.0393,81.178,0.101,classical
0.986,0.63,0.0686,0.613,2,0.0931,-14.991,1,0.042,123.088,0.55,classical
0.974,0.398,0.0575,0.922,5,0.0628,-22.472,1,0.036,109.207,0.209,classical
0.964,0.374,0.298,0.834,8,0.123,-17.187,0,0.0426,124.431,0.311,classical
0.991,0.343,0.0342,0.92,8,0.1,-25.591,1,0.0406,60.228,0.0378,classical
0.636,0.148,0.301,0.937,5,0.154,-13.321,1,0.0432,80.128,0.0419,classical
0.944,0.234,0.227,0.869,11,0.0854,-18.535,1,0.0373,101.636,0.0703,classical
0.978,0.0802,0.0222,0.0555,10,0.0942,-32.901,1,0.041,74.39,0.0686,classical
0.951,0.0809,0.0457,0.91,4,0.0845,-22.714,1,0.0392,81.749,0.0363,classical
0.912,0.115,0.0858,0.9,10,0.0906,-20.432,0,0.0447,89.296,0.0296,classical
0.525,0.287,0.158,0.344,10,0.232,-19.478,1,0.0325,148.645,0.363,classical
0.783,0.354,0.0487,0.484,5,0.284,-24.568,1,0.0323,64.12,0.253,classical
0.726,0.11,0.116,0.906,7,0.125,-21.875,1,0.0437,92.592,0.0624,classical
0.983,0.194,0.0545,0.945,4,0.0551,-24.877,1,0.0366,140.966,0.0385,classical
0.98,0.205,0.0525,0.906,1,0.103,-23.841,1,0.0327,88.316,0.0511,classical
0.934,0.126,0.0278,0.828,9,0.107,-26.217,1,0.0435,81.267,0.034,classical
0.972,0.12,0.106,0.919,0,0.0802,-22.245,0,0.041,77.06,0.0466,classical
0.946,0.07,0.0724,0.896,4,0.286,-25.949,0,0.0404,75.518,0.0369,classical
0.936,0.324,0.218,0.684,4,0.249,-16.495,1,0.0592,174.556,0.535,classical
0.87,0.339,0.649,0.398,4,0.0948,-13.449,1,0.0605,169.069,0.66,classical
0.689,0.274,0.434,0.76,2,0.0705,-11.61,1,0.0433,131.962,0.315,classical
0.96,0.122,0.0779,0.939,4,0.105,-21.23,0,0.0476,95.404,0.038,classical
0.994,0.12,0.138,0.686,10,0.11,-15.538,1,0.048,67.894,0.043,classical
0.901,0.1,0.0354,0.865,11,0.125,-17.211,0,0.0387,73.968,0.0426,classical
0.959,0.487,0.152,0.638,9,0.322,-20.265,1,0.053,110.946,0.237,classical
